id,name,artists,album,release_date,duration_ms,popularity,external_url,genre
1GpDcABDptCpIOALmD2S5f,I LUV HER (wth T-Pain),"GloRilla, T-Pain",I LUV HER (wth T-Pain),2024-10-10,176000,58,https://open.spotify.com/track/1GpDcABDptCpIOALmD2S5f,Hip-Hop
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,$ome $exy $ongs 4 U,2025-02-14,241023,88,https://open.spotify.com/track/2u9S9JJ6hTZS3Vf22HOZKg,Hip-Hop
0tNmqPu4DwGKXCIOpV2USh,THAT GUY,"etmnx, 20keazyy",THAT GUY,2024-12-25,174072,1,https://open.spotify.com/track/0tNmqPu4DwGKXCIOpV2USh,Hip-Hop
2EKL77lwxvo615Ga7VjEUl,him all along,Gunna,him all along,2024-10-18,158666,73,https://open.spotify.com/track/2EKL77lwxvo615Ga7VjEUl,Hip-Hop
0U60hgxzGit7juEuHul2y3,25,Rod Wave,Last Lap,2024-10-11,180000,71,https://open.spotify.com/track/0U60hgxzGit7juEuHul2y3,Hip-Hop
487JCvAXVblflZyDJn3fSp,Help Me,Real Boston Richey,Help Me,2024-05-31,181165,64,https://open.spotify.com/track/487JCvAXVblflZyDJn3fSp,Hip-Hop
0QRhtV1MwywpkLTvCdMaWq,Lady Killers II (Christoph Andersson Remix),"G-Eazy, Christoph Andersson",Lady Killers II (Christoph Andersson Remix),2024-03-17,297794,2,https://open.spotify.com/track/0QRhtV1MwywpkLTvCdMaWq,Hip-Hop
1F5Qp0SJS0QUfqIoQggrLz,The Largest,BigXthaPlug,The Largest,2024-08-09,132266,68,https://open.spotify.com/track/1F5Qp0SJS0QUfqIoQggrLz,Hip-Hop
56qiAh3R5y85Ng26tkAUD3,TGIF,GloRilla,TGIF (Alternate Versions),2024-06-20,164571,56,https://open.spotify.com/track/56qiAh3R5y85Ng26tkAUD3,Hip-Hop
5pSpNlqyYsSjdVKdrxvgHn,Mo Chicken (feat. French Montana),"BossMan Dlow, French Montana",Dlow Curry,2024-12-13,180063,72,https://open.spotify.com/track/5pSpNlqyYsSjdVKdrxvgHn,Hip-Hop
5XOj1AZvRfL8cTi3GKBLeV,WHIM WHAMIEE,"PLUTO, YKNIECE",WHIM WHAMIEE,2025-02-03,141538,53,https://open.spotify.com/track/5XOj1AZvRfL8cTi3GKBLeV,Hip-Hop
77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,euphoria,2024-04-30,383639,77,https://open.spotify.com/track/77DRzu7ERs0TX3roZcre7Q,Hip-Hop
6zrCf0MGof32vwLPZIZY2S,By Myself (feat. Rod Wave & Rylo Rodriguez),"Lil Baby, Rylo Rodriguez, Rod Wave",WHAM,2025-01-03,197400,4,https://open.spotify.com/track/6zrCf0MGof32vwLPZIZY2S,Hip-Hop
6iycYUk3oB0NPMdaDUrN1w,EVIL J0RDAN,Playboi Carti,MUSIC,2025-03-14,183928,79,https://open.spotify.com/track/6iycYUk3oB0NPMdaDUrN1w,Hip-Hop
